line_number,section,hindi,english,roman
18.0,,तुम उपकार सुग्रीवहिं कीन्हा। राम मिलाय राजपद दीन्हा॥,You did Sugreeva a great favour; you arranged his meeting with Ram and gave him his kingdom,"Tum Upkar Sugrivehin Kinha, Ram Milay Rajpad Dinha"
19.0,,तुम्हरो मंत्र विभीषन माना। लंकेस्वर भए सब जग जाना॥,Vibhishana accepted your counsel; he became king of Lanka as all the world knows,"Tumhro Mantra Vibhishan Mana, Lankeshwar Bhaye Sab Jag Jana"
20.0,,जुग सहस्र जोजन पर भानू। लील्यो ताहि मधुर फल जानू॥,The sun is thousands of yojanas away; yet you swallowed it thinking it a sweet fruit,"Jug Sahastra Jojan Par Bhanu, Lilyo Tahi Madhur Phal Janu"
21.0,,प्रभु मुद्रिका मेलि मुख माहीं। जलधि लाँघि गये अचरज नाहीं॥,"Holding the Lord's ring in his mouth; he leaped across the ocean, which is no surprise","Prabhu Mudrika Meli Mukh Mahin, Jaladhi Langi Gaye Acharaj Nahin"
22.0,,दुर्गम काज जगत के जेते। सुगम अनुग्रह तुम्हरे तेते॥,All difficult tasks in the world; become easy by your grace,"Durgam Kaj Jagat Ke Jete, Sugam Anugraha Tumhre Tete"
23.0,,राम दुआरे तुम रखवारे। होत न आज्ञा बिनु पैसारे॥,You are the guardian at the door of Ram; none can enter without your permission,"Ram Duare Tum Rakhvare, Hot Na Agya Binu Paisare"
24.0,,सब सुख लहै तुम्हारी सरना। तुम रक्षक काहू को डर ना॥,"All happiness is attained under your protection; with you as protector, there is nothing to fear","Sab Sukh Lahai Tumhari Sarna, Tum Rakshak Kahu Ko Dar Na"
25.0,,आपन तेज सम्हारो आपै। तीनों लोक हाँक ते काँपै॥,You alone can contain your own power; all three worlds tremble at your roar,"Apan Tej Samharo Apai, Tinon Lok Hank Te Kampai"
26.0,,भूत पिशाच निकट नहिं आवै। महाबीर जब नाम सुनावै॥,Ghosts and evil spirits do not come near; when the name of the great hero Hanuman is uttered,"Bhoot Pishach Nikat Nahin Avai, Mahaveer Jab Naam Sunavai"
27.0,,नासै रोग हरै सब पीरा। जपत निरंतर हनुमत बीरा॥,Diseases are destroyed and all pain is removed; by constantly chanting the name of the brave Hanuman,"Nasei Rog Harai Sab Pira, Japat Nirantar Hanumat Bira"
28.0,,संकट से हनुमान छुड़ावै। मन क्रम बचन ध्यान जो लावै॥,"Hanuman frees one from troubles; whoever meditates on him in thought, word and deed","Sankat Se Hanuman Chhudavai, Man Kram Bachan Dhyan Jo Lavai"
29.0,,सब पर राम तपस्वी राजा। तिन के काज सकल तुम साजा॥,Ram the ascetic king rules over all; you accomplish all his tasks,"Sab Par Ram Tapasvi Raja, Tin Ke Kaj Sakal Tum Saja"
30.0,,और मनोरथ जो कोई लावै। सोइ अमित जीवन फल पावै॥,Whoever brings any wish before you; receives that fruit in unlimited measure in life,"Aur Manorath Jo Koi Lavai, Soi Amit Jeevan Phal Pavai"
31.0,,चारों जुग परताप तुम्हारा। है परसिद्ध जगत उजियारा॥,Your glory spans all four ages; it is well-known and illuminates the world,"Charon Jug Partap Tumhara, Hai Parsiddha Jagat Ujiyara"
32.0,,साधु-संत के तुम रखवारे। असुर निकंदन राम दुलारे॥,You are the protector of saints and holy men; destroyer of demons and beloved of Ram,"Sadhu Sant Ke Tum Rakhvare, Asur Nikandan Ram Dulare"
33.0,,अष्ट सिद्धि नौ निधि के दाता। अस बर दीन जानकी माता॥,Giver of the eight powers and nine treasures; such was the boon given by Mother Janaki,"Asht Siddhi Nau Nidhi Ke Data, As Bar Din Janaki Mata"
34.0,,राम रसायन तुम्हरे पासा। सदा रहो रघुपति के दासा॥,The elixir of Ram's name is always with you; may you always remain the servant of Raghupati,"Ram Rasayan Tumhre Pasa, Sada Raho Raghupati Ke Dasa"
35.0,,तुम्हरे भजन राम को पावै। जनम-जनम के दुख बिसरावै॥,"Through devotion to you, Ram is attained; the sorrows of countless births are forgotten","Tumhre Bhajan Ram Ko Pavai, Janam Janam Ke Dukh Bisravai"
36.0,,अन्त काल रघुबर पुर जाई। जहाँ जन्म हरि-भक्त कहाई॥,"At the end of life one goes to the abode of Raghuvara; and wherever one is reborn, one is known as a devotee of Hari","Ant Kaal Raghubar Pur Jai, Jahan Janma Hari Bhakt Kahai"
37.0,,और देवता चित्त न धरई। हनुमत सेइ सर्व सुख करई॥,One need not hold other gods in mind; service to Hanuman gives all happiness,"Aur Devata Chitt Na Dharai, Hanumat Sei Sarva Sukh Karai"
38.0,,संकट कटै मिटै सब पीरा। जो सुमिरै हनुमत बलबीरा॥,All troubles are cut and all pain removed; for whoever remembers the brave and powerful Hanuman,"Sankat Katai Mitai Sab Pira, Jo Sumirai Hanumat Balvira"
39.0,,जय जय जय हनुमान गोसाईं। कृपा करहु गुरुदेव की नाईं॥,"Victory, victory, victory to Lord Hanuman; show grace upon me as a Guru does","Jai Jai Jai Hanuman Gosain, Kripa Karahu Gurudev Ki Nain"
40.0,,जो सत बार पाठ कर कोई। छूटहि बंदि महा सुख होई॥,Whoever recites this a hundred times; shall be freed from all bondage and attain great happiness,"Jo Sat Bar Path Kar Koi, Chhutahi Bandi Maha Sukh Hoi"
41.0,,जो यह पढ़ै हनुमान चालीसा। होय सिद्धि साखी गौरीसा॥,"Whoever reads this Hanuman Chalisa; attains perfection, with Lord Shiva as witness","Jo Yeh Padhai Hanuman Chalisa, Hoy Siddhi Sakhi Gaurisa"
42.0,,तुलसीदास सदा हरि चेरा। कीजै नाथ हृदय मँह डेरा॥,"Tulsidas is always the servant of Hari; O Lord, please make your abode in my heart","Tulsidas Sada Hari Chera, Kijei Nath Hridaya Mah Dera"
43.0,॥दोहा॥,"पवन तनय संकट हरन, मंगल मूरति रूप। राम लखन सीता सहित, हृदय बसहु सुर भूप॥","O son of the Wind, remover of troubles, embodiment of auspiciousness; O king of gods, dwell in my heart along with Ram, Lakshmana and Sita","Pawan Tanay Sankat Haran, Mangal Moorati Roop, Ram Lakhan Sita Sahit, Hriday Basahu Sur Bhoop"
,|| अंत ||,,,
